"Date","Time","Hour","High_Facebook","High_Shopify","High_Beyond_Meat","High_Netflix","High_Pinterest","High_Sqaure","High_The_Trade_Desk","High_Okta","High_Snap","High_Datadog"
"2020-05-14","09:47:00","09","202.2700042725","744.4799804688","136.0","446.4299926758","16.2150001526","72.7399978638","287.075012207","176.6600036621","16.6499996185","66.1900024414"
"2020-05-14","09:33:00","09","202.5500030518","755.2899780273","134.8999938965","448.3500061035","16.4599990845","71.9300003052","286.0","174.9654998779","16.6299991608","66.3399963379"
"2020-05-14","09:37:00","09","203.8677978516","753.4799804688","137.7700042725","451.469909668","16.4109992981","72.5","288.8476867676","177.9299926758","16.6650009155","66.3799972534"
"2020-05-14","09:36:00","09","203.6399993896","755.0","136.3899993896","452.0","16.4109992981","72.4100036621","289.195892334","176.9550018311","16.6800003052","66.8700027466"
"2020-05-14","09:34:00","09","202.9400024414","753.5700073242","134.1900024414","448.7998046875","16.3099994659","72.0899963379","288.6400146484","175.9900054932","16.6200008392","66.4300003052"
"2020-05-14","09:31:00","09","202.8099975586","758.0900268555","135.9400024414","449.5","16.5400009155","72.4598999023","289.4498901367","175.75","16.7299995422","66.8499984741"
"2020-05-14","09:32:00","09","202.8200073242","756.983215332","135.5198974609","449.5100097656","16.5400009155","72.4400024414","288.0799865723","175.7850036621","16.7199993134","67.25"
"2020-05-14","09:53:00","09","201.716003418","739.6279907227","133.2899017334","444.25","16.0499992371","71.6299972534","284.5199890137","175.4100036621","16.5599994659","65.2399978638"
"2020-05-14","09:42:00","09","202.8800048828","751.225402832","136.0899963379","451.0","16.2700004578","72.6900024414","287.8200073242","177.9700012207","16.5849990845","65.5899963379"
"2020-05-14","09:50:00","09","201.9199066162","741.8499755859","134.0","445.8699951172","16.0799999237","72.3700027466","284.0","175.6750030518","16.5799999237","65.5299987793"
"2020-05-14","09:52:00","09","201.6600036621","740.4799194336","132.9799957275","444.245513916","16.1000003815","71.7850036621","284.6998901367","175.2949981689","16.5499992371","65.5559997559"
"2020-05-14","09:55:00","09","201.5700073242","737.9143066406","133.1999969482","443.7300109863","15.8999996185","71.6399993896","282.7976074219","174.4400024414","16.5100002289","65.0599975586"
"2020-05-14","09:45:00","09","202.5899963379","744.2470092773","135.4098968506","447.3999938965","16.2800006866","72.4899978638","286.7998962402","176.6100006104","16.6100006104","65.3000030518"
"2020-05-14","09:40:00","09","202.9900054932","747.5178222656","137.2899932861","450.429901123","16.360200882","72.2799987793","288.2900085449","177.25","16.5599994659","65.8199996948"
"2020-05-14","09:44:00","09","202.2299957275","747.8657226562","135.3827972412","446.2572937012","16.2700004578","72.3099975586","285.6600036621","176.3399963379","16.5699996948","65.25"
"2020-05-14","09:46:00","09","202.6499938965","747.5612792969","136.3899993896","447.200012207","16.2800006866","72.8099975586","287.8500061035","177.0","16.6949996948","66.0400009155"
"2020-05-14","09:56:00","09","201.5800018311","740.0","133.5","444.6199951172","15.9200000763","71.6399993896","282.2142028809","174.8200073242","16.5049991608","64.7904968262"
"2020-05-14","09:41:00","09","202.6799926758","747.8090209961","135.9998931885","450.1499938965","16.3500003815","72.3099975586","287.7699890137","177.2799987793","16.5499992371","65.1500015259"
"2020-05-14","09:39:00","09","203.25","751.992980957","137.9700012207","449.3500061035","16.3899993896","72.3199996948","288.6400146484","178.0","16.5699996948","66.2098999023"
"2020-05-14","09:51:00","09","201.8121948242","741.4769897461","134.1199951172","445.5325012207","16.1000003815","72.2850036621","284.4299926758","175.3249969482","16.5799007416","65.6200027466"
"2020-05-14","09:48:00","09","201.8699951172","743.1099243164","135.8600006104","445.2099914551","16.1399993896","72.679901123","286.2399902344","176.3600006104","16.6000003815","65.8499984741"
"2020-05-14","09:43:00","09","202.7799987793","750.0","136.1699981689","450.4718933105","16.3600006104","72.5599975586","287.0293884277","177.7218933105","16.5900001526","66.0"
"2020-05-14","09:38:00","09","203.8099975586","752.5723266602","137.7539978027","451.3800048828","16.4099998474","72.5","289.1300048828","178.0","16.6049995422","66.4800033569"
"2020-05-14","09:30:00","09","202.8300018311","750.2600097656","134.0","446.450012207","16.4899997711","72.4599990845","286.8500061035","175.5","16.6599998474","66.4499969482"
"2020-05-14","09:49:00","09","201.7400054932","741.0599975586","134.9900054932","444.7099914551","16.0599994659","72.4300003052","284.6099853516","175.7308959961","16.5699996948","65.5400009155"
"2020-05-14","09:35:00","09","203.4900054932","754.0","135.5","451.5","16.349899292","72.3286972046","288.2080078125","177.0","16.6499996185","66.8399963379"
"2020-05-14","09:54:00","09","201.0899963379","736.0100097656","132.4850006104","443.1499938965","15.8999996185","71.3799972534","282.1871948242","174.1300048828","16.5149993896","65.2200012207"
"2020-05-14","10:16:00","10","202.0","747.8699951172","136.4600067139","445.6900024414","16.2399997711","72.9000015259","286.7836914062","176.8740997314","16.7150001526","65.9800033569"
"2020-05-14","10:36:00","10","202.3699951172","740.9899902344","139.4900054932","441.75","16.4200000763","73.7900009155","286.2699890137","176.4499969482","16.7399997711","63.6100006104"
"2020-05-14","10:31:00","10","202.1399993896","741.8200073242","139.5599975586","442.6400146484","16.3999996185","73.2649993896","285.6499938965","176.1900024414","16.6700000763","63.1300010681"
"2020-05-14","10:39:00","10","202.8800048828","744.9735107422","138.7299957275","443.450012207","16.5249996185","74.3398971558","287.5799865723","177.2200012207","16.8199005127","64.2799987793"
"2020-05-14","10:25:00","10","202.5800018311","745.932800293","137.3999938965","443.6300048828","16.3850002289","73.0500030518","287.700012207","177.2299957275","16.7399997711","64.9899978638"
"2020-05-14","10:20:00","10","201.8999938965","744.7947998047","136.8500061035","444.2200012207","16.3099994659","72.8499984741","286.700012207","177.5399932861","16.7299995422","65.2099990845"
"2020-05-14","10:47:00","10","202.5","740.6300048828","137.2998962402","442.8900146484","16.5450000763","74.4100036621","286.950012207","176.1999969482","16.7800006866","63.1599998474"
"2020-05-14","10:29:00","10","202.2100067139","741.0","137.5489959717","442.8999938965","16.3150005341","72.9000015259","285.7699890137","176.2700042725","16.6599998474","63.7200012207"
"2020-05-14","10:32:00","10","202.3399963379","741.9998779297","139.0899963379","443.0100097656","16.3649997711","73.3899993896","285.8298950195","176.6598968506","16.6700000763","63.1699981689"
"2020-05-14","10:04:00","10","201.0","741.9398803711","134.3699951172","444.5999145508","15.9149999619","71.9349975586","283.200012207","176.6750030518","16.5200004578","65.4000015259"
"2020-05-14","10:58:00","10","202.8600006104","742.2299804688","137.4255981445","441.2644042969","16.5699996948","75.4300003052","288.8200073242","176.9750061035","16.875","64.3700027466"
"2020-05-14","10:50:00","10","203.2100067139","742.0","138.2299957275","443.8270874023","16.6049995422","75.1100006104","289.6499023438","177.1699981689","16.8199996948","63.4900016785"
"2020-05-14","10:49:00","10","203.2400054932","742.1082763672","137.5493927002","443.8999938965","16.6100006104","74.9000015259","289.842010498","177.2100067139","16.8199996948","63.4999008179"
"2020-05-14","10:46:00","10","202.5500030518","742.7299194336","137.7700042725","443.7510986328","16.5200004578","74.4400024414","287.4938049316","176.6999969482","16.7999992371","63.3899993896"
"2020-05-14","10:05:00","10","201.6699981689","746.0","135.5","445.7200012207","16.0300006866","72.1999969482","284.5710144043","177.4499053955","16.5599994659","65.9899978638"
"2020-05-14","10:08:00","10","201.9900054932","749.4849853516","135.4400024414","446.5100097656","16.1599998474","72.8199996948","286.9899902344","177.8025054932","16.6749992371","65.8600006104"
